"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","2775"
">","THREAD_COUNT:","18"
">","EXTENTS_LEFT:","0.000000"
">","EXTENTS_TOP:","-78.990395"
">","EXTENTS_RIGHT:","78.303735"
">","EXTENTS_BOTTOM:","0.000000"
">","EXTENTS_WIDTH:","78.303735"
">","EXTENTS_HEIGHT:","78.990395"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","0","0","0","(null)","(null)"
"$","2","0","0","0","(null)","(null)"
"$","3","0","0","0","(null)","(null)"
"$","4","0","0","0","(null)","(null)"
"$","5","0","0","0","(null)","(null)"
"$","6","0","0","0","(null)","(null)"
"$","7","0","0","0","(null)","(null)"
"$","8","0","0","0","(null)","(null)"
"$","9","0","0","0","(null)","(null)"
"$","10","0","0","0","(null)","(null)"
"$","11","0","0","0","(null)","(null)"
"$","12","255","0","0","(null)","(null)"
"$","13","91","206","250","(null)","(null)"
"$","14","245","169","184","(null)","(null)"
"$","15","255","255","255","(null)","(null)"
"$","16","245","169","184","(null)","(null)"
"$","17","91","206","250","(null)","(null)"
"$","18","255","0","0","(null)","(null)"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","16.8288","-12.0000"
"*","STITCH","15.0000","-12.0000"
"*","STITCH","14.0318","-12.0000"
"*","STITCH","13.0066","-13.0000"
"*","STITCH","16.2111","-13.0000"
"*","STITCH","15.6760","-14.0000"
"*","STITCH","12.0301","-14.0000"
"*","STITCH","11.1544","-15.0000"
"*","STITCH","15.1408","-15.0000"
"*","STITCH","14.6056","-16.0000"
"*","STITCH","10.2787","-16.0000"
"*","STITCH","15.5315","-10.6627"
"*","STITCH","18.9844","-8.0000"
"*","STITCH","19.6846","-8.0000"
"*","STITCH","27.0799","-14.7029"
"*","STITCH","30.4919","-13.0000"
"*","STITCH","28.6234","-13.0000"
"*","STITCH","27.7171","-14.0000"
"*","STITCH","31.9193","-14.0000"
"*","STITCH","33.0751","-15.0000"
"*","STITCH","26.8107","-15.0000"
"*","STITCH","25.9043","-16.0000"
"*","STITCH","30.0000","-16.0000"
"*","STITCH","34.1279","-16.0000"
"*","STITCH","30.4919","-13.0000"
"*","STITCH","28.6234","-13.0000"
"*","STITCH","30.4919","-13.0000"
"*","STITCH","44.9590","-16.0729"
"*","STITCH","50.4911","-13.0000"
"*","STITCH","48.7500","-13.0000"
"*","STITCH","47.2928","-14.0000"
"*","STITCH","51.3812","-14.0000"
"*","STITCH","52.2712","-15.0000"
"*","STITCH","46.1393","-15.0000"
"*","STITCH","45.0392","-16.0000"
"*","STITCH","53.1613","-16.0000"
"*","STITCH","50.4911","-13.0000"
"*","STITCH","48.7500","-13.0000"
"*","STITCH","50.4911","-13.0000"
"*","TRIM","14.5666","-16.0729"
"*","COLOR","14.5666","-16.0729"
"*","JUMP","14.5666","-16.0729"
"*","STITCH","14.5666","-16.0729"
"*","STITCH","10.7971","-16.0729"
"*","STITCH","8.7406","-18.1295"
"*","STITCH","6.3984","-21.8859"
"*","STITCH","12.2114","-16.0729"
"*","STITCH","13.6256","-16.0729"
"*","STITCH","6.8943","-22.8042"
"*","STITCH","4.9936","-24.7049"
"*","STITCH","4.0144","-27.0983"
"*","STITCH","10.2530","-20.8597"
"*","STITCH","14.2382","-16.8745"
"*","STITCH","13.2570","-19.2699"
"*","STITCH","3.3590","-29.1679"
"*","STITCH","2.8142","-31.1269"
"*","STITCH","6.3640","-27.5772"
"*","STITCH","12.6683","-21.2729"
"*","STITCH","12.1420","-23.2133"
"*","STITCH","9.7227","-25.6326"
"*","STITCH","3.4074","-31.9479"
"*","STITCH","4.8216","-31.9479"
"*","STITCH","11.8471","-24.9225"
"*","STITCH","11.6899","-26.4939"
"*","STITCH","6.2358","-31.9479"
"*","STITCH","7.6501","-31.9479"
"*","STITCH","9.1924","-30.4056"
"*","STITCH","11.6251","-27.9728"
"*","STITCH","11.6674","-29.3448"
"*","STITCH","9.0643","-31.9479"
"*","STITCH","10.4785","-31.9479"
"*","STITCH","11.7969","-30.6295"
"*","STITCH","11.9669","-31.8737"
"*","STITCH","11.9255","-24.4119"
"*","STITCH","14.0834","-17.2525"
"*","STITCH","10.7971","-16.0729"
"*","STITCH","8.7406","-18.1295"
"*","STITCH","10.7834","-16.0867"
"*","STITCH","24.7592","-17.2635"
"*","STITCH","26.3535","-16.0729"
"*","STITCH","25.0279","-17.3986"
"*","STITCH","25.9691","-17.8716"
"*","STITCH","27.7677","-16.0729"
"*","STITCH","29.1819","-16.0729"
"*","STITCH","26.8869","-18.3679"
"*","STITCH","27.7372","-18.9319"
"*","STITCH","30.5961","-16.0729"
"*","STITCH","32.0103","-16.0729"
"*","STITCH","29.3449","-18.7383"
"*","STITCH","28.5522","-19.5310"
"*","STITCH","29.3190","-20.1785"
"*","STITCH","32.7037","-16.7938"
"*","STITCH","33.4246","-16.0729"
"*","STITCH","34.4836","-16.4281"
"*","STITCH","30.0238","-20.8879"
"*","STITCH","30.6711","-21.6548"
"*","STITCH","35.1056","-17.2203"
"*","STITCH","35.7277","-18.0124"
"*","STITCH","32.1734","-21.5668"
"*","STITCH","31.2617","-22.4784"
"*","STITCH","31.7974","-23.3569"
"*","STITCH","35.5321","-19.6222"
"*","STITCH","39.0814","-16.0729"
"*","STITCH","37.6672","-16.0729"
"*","STITCH","35.9788","-17.7613"
"*","STITCH","35.8209","-16.5050"
"*","STITCH","36.2530","-16.0729"
"*","STITCH","40.4956","-16.0729"
"*","STITCH","38.8909","-17.6777"
"*","STITCH","32.2503","-24.3182"
"*","STITCH","32.6968","-25.2859"
"*","STITCH","41.9098","-16.0729"
"*","STITCH","43.3240","-16.0729"
"*","STITCH","35.0018","-24.3952"
"*","STITCH","33.1085","-26.2885"
"*","STITCH","33.4786","-27.3326"
"*","STITCH","38.3605","-22.4506"
"*","STITCH","43.1463","-17.6649"
"*","STITCH","46.1525","-16.0729"
"*","STITCH","41.7193","-20.5061"
"*","STITCH","33.8158","-28.4096"
"*","STITCH","34.1004","-29.5392"
"*","STITCH","34.4715","-29.1682"
"*","STITCH","45.0781","-18.5616"
"*","STITCH","47.5667","-16.0729"
"*","STITCH","48.9809","-16.0729"
"*","STITCH","48.4368","-16.6170"
"*","STITCH","37.8302","-27.2236"
"*","STITCH","34.3300","-30.7238"
"*","STITCH","34.5201","-31.9479"
"*","STITCH","41.1890","-25.2791"
"*","STITCH","50.3951","-16.0729"
"*","STITCH","51.8093","-16.0729"
"*","STITCH","44.5477","-23.3345"
"*","STITCH","35.9343","-31.9479"
"*","STITCH","37.3485","-31.9479"
"*","STITCH","47.9065","-21.3900"
"*","STITCH","53.2235","-16.0729"
"*","STITCH","53.8910","-16.8197"
"*","STITCH","52.5900","-18.1206"
"*","STITCH","47.3077","-23.3252"
"*","STITCH","40.6586","-30.0520"
"*","STITCH","38.7628","-31.9479"
"*","STITCH","40.1770","-31.9479"
"*","STITCH","44.0174","-28.1075"
"*","STITCH","46.1070","-26.0179"
"*","STITCH","45.4768","-28.0623"
"*","STITCH","41.5912","-31.9479"
"*","STITCH","43.0054","-31.9479"
"*","STITCH","45.0601","-29.8932"
"*","STITCH","44.8095","-31.5581"
"*","STITCH","44.4196","-31.9479"
"*","STITCH","36.9196","-31.9479"
"*","STITCH","33.3591","-26.9956"
