"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","2557"
">","THREAD_COUNT:","2"
">","EXTENTS_LEFT:","0.000000"
">","EXTENTS_TOP:","-62.299999"
">","EXTENTS_RIGHT:","59.099999"
">","EXTENTS_BOTTOM:","44.899999"
">","EXTENTS_WIDTH:","59.099999"
">","EXTENTS_HEIGHT:","107.199998"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","255","0","0","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"
"$","2","255","255","255","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","30.0000","-9.5000"
"*","STITCH","31.1000","-8.6000"
"*","STITCH","30.9000","-8.8000"
"*","STITCH","28.1000","-11.6000"
"*","STITCH","26.8000","-13.0000"
"*","STITCH","29.1000","-10.9000"
"*","STITCH","31.3000","-9.1000"
"*","STITCH","30.2000","-10.2000"
"*","STITCH","27.3000","-13.1000"
"*","STITCH","26.5000","-13.9000"
"*","STITCH","28.3000","-12.4000"
"*","STITCH","31.4000","-9.6000"
"*","STITCH","29.3000","-11.7000"
"*","STITCH","26.5000","-14.5000"
"*","STITCH","26.2000","-14.8000"
"*","STITCH","27.5000","-13.8000"
"*","STITCH","30.3000","-11.0000"
"*","STITCH","31.6000","-10.1000"
"*","STITCH","31.3000","-10.3000"
"*","STITCH","28.5000","-13.1000"
"*","STITCH","26.0000","-15.7000"
"*","STITCH","26.7000","-15.3000"
"*","STITCH","29.5000","-12.4000"
"*","STITCH","31.7000","-10.5000"
"*","STITCH","30.5000","-11.7000"
"*","STITCH","27.7000","-14.6000"
"*","STITCH","25.7000","-16.6000"
"*","STITCH","25.9000","-16.7000"
"*","STITCH","28.7000","-13.9000"
"*","STITCH","31.5000","-11.0000"
"*","STITCH","31.9000","-11.0000"
"*","STITCH","29.7000","-13.2000"
"*","STITCH","26.9000","-16.0000"
"*","STITCH","25.4000","-17.5000"
"*","STITCH","27.9000","-15.3000"
"*","STITCH","30.7000","-12.5000"
"*","STITCH","32.0000","-11.5000"
"*","STITCH","31.7000","-11.8000"
"*","STITCH","28.9000","-14.6000"
"*","STITCH","26.1000","-17.5000"
"*","STITCH","25.2000","-18.4000"
"*","STITCH","27.1000","-16.8000"
"*","STITCH","29.9000","-13.9000"
"*","STITCH","32.2000","-12.0000"
"*","STITCH","30.9000","-13.2000"
"*","STITCH","28.1000","-16.1000"
"*","STITCH","25.3000","-18.9000"
"*","STITCH","24.9000","-19.3000"
"*","STITCH","26.3000","-18.2000"
"*","STITCH","29.1000","-15.4000"
"*","STITCH","31.9000","-12.6000"
"*","STITCH","32.3000","-12.5000"
"*","STITCH","30.1000","-14.7000"
"*","STITCH","27.3000","-17.5000"
"*","STITCH","24.6000","-20.2000"
"*","STITCH","25.4000","-19.7000"
"*","STITCH","28.3000","-16.8000"
"*","STITCH","31.1000","-14.0000"
"*","STITCH","32.5000","-13.0000"
"*","STITCH","32.1000","-13.3000"
"*","STITCH","29.3000","-16.1000"
"*","STITCH","26.4000","-19.0000"
"*","STITCH","24.3000","-21.1000"
"*","STITCH","24.6000","-21.1000"
"*","STITCH","27.5000","-18.3000"
"*","STITCH","30.3000","-15.4000"
"*","STITCH","32.6000","-13.4000"
"*","STITCH","31.3000","-14.8000"
"*","STITCH","28.5000","-17.6000"
"*","STITCH","25.6000","-20.4000"
"*","STITCH","24.1000","-22.0000"
"*","STITCH","26.6000","-19.7000"
"*","STITCH","29.5000","-16.9000"
"*","STITCH","32.3000","-14.1000"
"*","STITCH","32.7000","-13.9000"
"*","STITCH","30.5000","-16.2000"
"*","STITCH","27.6000","-19.0000"
"*","STITCH","24.8000","-21.9000"
"*","STITCH","23.8000","-22.9000"
"*","STITCH","25.8000","-21.2000"
"*","STITCH","28.6000","-18.3000"
"*","STITCH","31.5000","-15.5000"
"*","STITCH","32.9000","-14.4000"
"*","STITCH","32.5000","-14.8000"
"*","STITCH","29.7000","-17.6000"
"*","STITCH","26.8000","-20.5000"
"*","STITCH","24.0000","-23.3000"
"*","STITCH","23.5000","-23.8000"
"*","STITCH","25.0000","-22.6000"
"*","STITCH","27.8000","-19.8000"
"*","STITCH","30.7000","-17.0000"
"*","STITCH","33.0000","-14.9000"
"*","STITCH","31.7000","-16.3000"
"*","STITCH","28.8000","-19.1000"
"*","STITCH","26.0000","-21.9000"
"*","STITCH","23.3000","-24.7000"
"*","STITCH","23.2000","-24.9000"
"*","STITCH","21.9000","-26.2000"
"*","STITCH","20.6000","-27.5000"
"*","STITCH","19.3000","-28.8000"
"*","STITCH","18.1000","-30.0000"
"*","STITCH","16.8000","-31.3000"
"*","STITCH","15.5000","-32.6000"
"*","STITCH","14.2000","-33.9000"
"*","STITCH","14.3000","-34.0000"
"*","STITCH","15.7000","-32.5000"
"*","STITCH","18.5000","-29.7000"
"*","STITCH","21.4000","-26.9000"
"*","STITCH","24.2000","-24.1000"
"*","STITCH","27.0000","-21.2000"
"*","STITCH","29.8000","-18.4000"
"*","STITCH","32.7000","-15.6000"
"*","STITCH","33.1000","-15.1000"
"*","STITCH","30.8000","-17.7000"
"*","STITCH","28.0000","-20.5000"
"*","STITCH","25.2000","-23.4000"
"*","STITCH","22.4000","-26.2000"
"*","STITCH","19.5000","-29.0000"
"*","STITCH","16.7000","-31.9000"
"*","STITCH","14.6000","-34.2000"
"*","STITCH","14.9000","-34.0000"
"*","STITCH","17.7000","-31.2000"
"*","STITCH","20.5000","-28.3000"
"*","STITCH","23.4000","-25.5000"
"*","STITCH","26.2000","-22.7000"
"*","STITCH","29.0000","-19.9000"
"*","STITCH","31.9000","-17.0000"
"*","STITCH","33.2000","-15.6000"
"*","STITCH","32.9000","-16.3000"
"*","STITCH","30.0000","-19.2000"
"*","STITCH","27.2000","-22.0000"
"*","STITCH","24.4000","-24.8000"
"*","STITCH","21.5000","-27.6000"
"*","STITCH","18.7000","-30.5000"
"*","STITCH","15.9000","-33.3000"
"*","STITCH","15.0000","-34.5000"
"*","STITCH","16.9000","-32.6000"
"*","STITCH","19.7000","-29.8000"
"*","STITCH","22.6000","-27.0000"
"*","STITCH","25.4000","-24.1000"
"*","STITCH","28.2000","-21.3000"
"*","STITCH","31.0000","-18.5000"
"*","STITCH","33.4000","-16.1000"
"*","STITCH","32.0000","-17.8000"
"*","STITCH","29.2000","-20.6000"
"*","STITCH","26.4000","-23.4000"
"*","STITCH","23.6000","-26.3000"
"*","STITCH","20.7000","-29.1000"
"*","STITCH","17.9000","-31.9000"
"*","STITCH","15.3000","-34.8000"
"*","STITCH","16.1000","-34.1000"
"*","STITCH","18.9000","-31.2000"
"*","STITCH","21.7000","-28.4000"
"*","STITCH","24.6000","-25.6000"
"*","STITCH","27.4000","-22.7000"
"*","STITCH","30.2000","-19.9000"
"*","STITCH","33.1000","-17.1000"
"*","STITCH","33.5000","-16.6000"
"*","STITCH","31.2000","-19.2000"
"*","STITCH","28.4000","-22.1000"
"*","STITCH","25.6000","-24.9000"
"*","STITCH","22.7000","-27.7000"
"*","STITCH","19.9000","-30.5000"
"*","STITCH","17.1000","-33.4000"
"*","STITCH","15.7000","-35.1000"
"*","STITCH","18.1000","-32.7000"
"*","STITCH","20.9000","-29.8000"
"*","STITCH","23.7000","-27.0000"
"*","STITCH","26.6000","-24.2000"
"*","STITCH","29.4000","-21.4000"
"*","STITCH","32.2000","-18.5000"
"*","STITCH","33.7000","-17.1000"
"*","STITCH","33.2000","-17.8000"
"*","STITCH","30.4000","-20.7000"
"*","STITCH","27.6000","-23.5000"
"*","STITCH","24.8000","-26.3000"
"*","STITCH","21.9000","-29.2000"
"*","STITCH","19.1000","-32.0000"
"*","STITCH","16.3000","-34.8000"
"*","STITCH","16.0000","-35.4000"
"*","STITCH","17.3000","-34.1000"
"*","STITCH","20.1000","-31.3000"
"*","STITCH","22.9000","-28.5000"
"*","STITCH","25.8000","-25.6000"
"*","STITCH","28.6000","-22.8000"
"*","STITCH","31.4000","-20.0000"
"*","STITCH","33.8000","-17.6000"
